[2026-06-30 15:22:01] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.1 | seed=42 | clients=10
[2026-06-30 15:24:05] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha01_seed42
[2026-06-30 15:24:05] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.1 | seed=123 | clients=10
[2026-06-30 15:24:26] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha01_seed123
[2026-06-30 15:24:26] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.1 | seed=456 | clients=10
[2026-06-30 15:24:59] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha01_seed456
[2026-06-30 15:24:59] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.5 | seed=42 | clients=10
[2026-06-30 15:25:23] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha05_seed42
[2026-06-30 15:25:23] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.5 | seed=123 | clients=10
[2026-06-30 15:25:39] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha05_seed123
[2026-06-30 15:25:39] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=0.5 | seed=456 | clients=10
[2026-06-30 15:26:01] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha05_seed456
[2026-06-30 15:26:01] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=1.0 | seed=42 | clients=10
[2026-06-30 15:26:20] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha10_seed42
[2026-06-30 15:26:20] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=1.0 | seed=123 | clients=10
[2026-06-30 15:26:42] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha10_seed123
[2026-06-30 15:26:42] [INFO   ] [PARTITIONER] [DATA] Generating partition: mnist | alpha=1.0 | seed=456 | clients=10
[2026-06-30 15:27:03] [INFO   ] [PARTITIONER] [DATA] Partition saved to /home/fayzul/codebase/fl_experiment/fl_experiment/data/partitions/mnist/alpha10_seed456
[2026-06-30 15:27:03] [INFO   ] [PARTITIONER] [DATA] Generating partition: cifar10 | alpha=0.1 | seed=42 | clients=10
