Dataset,Strategy,Alpha,A1 (mean±std),A2 (mean),B1 (mean±std),B2 (mean±std),B3 (mean±std)
MNIST,Random (FedAvg),0.1,98.20±0.78,4.0,0.0148±0.0055,0.0081±0.0030,1.962±0.476
MNIST,Random (FedAvg),0.5,99.16±0.04,1.0,0.0025±0.0005,0.0014±0.0003,1.882±0.535
MNIST,Random (FedAvg),1.0,99.31±0.05,1.0,0.0015±0.0004,0.0008±0.0003,2.307±0.131
MNIST,Performance-Based,0.1,95.49±2.37,2.3,0.0846±0.0615,0.0351±0.0247,10.000±0.000
MNIST,Performance-Based,0.5,98.94±0.12,1.0,0.0060±0.0002,0.0033±0.0001,10.000±0.000
MNIST,Performance-Based,1.0,99.07±0.08,1.0,0.0058±0.0011,0.0031±0.0006,10.000±0.000
MNIST,Fairness-Aware,0.1,97.93±0.55,3.3,0.0223±0.0056,0.0115±0.0026,1.424±0.398
MNIST,Fairness-Aware,0.5,99.14±0.03,1.0,0.0018±0.0004,0.0010±0.0002,1.424±0.398
MNIST,Fairness-Aware,1.0,99.21±0.05,1.0,0.0016±0.0004,0.0009±0.0002,1.424±0.398
CIFAR10,Random (FedAvg),0.1,55.97±4.66,nan,0.2320±0.0480,0.2269±0.0681,1.912±0.562
CIFAR10,Random (FedAvg),0.5,71.36±1.81,13.3,0.0982±0.0423,0.0680±0.0282,1.882±0.535
CIFAR10,Random (FedAvg),1.0,73.22±0.20,12.3,0.0499±0.0123,0.0333±0.0079,1.932±0.448
CIFAR10,Performance-Based,0.1,47.83±8.38,nan,0.2659±0.0276,0.2973±0.0739,10.000±0.000
CIFAR10,Performance-Based,0.5,66.81±0.96,nan,0.1256±0.0188,0.0963±0.0168,10.000±0.000
CIFAR10,Performance-Based,1.0,69.21±0.66,nan,0.1187±0.0109,0.0842±0.0063,10.000±0.000
CIFAR10,Fairness-Aware,0.1,58.37±5.57,nan,0.1509±0.0931,0.1601±0.1368,1.424±0.398
CIFAR10,Fairness-Aware,0.5,69.64±2.61,15.0,0.0931±0.0180,0.0638±0.0061,1.424±0.398
CIFAR10,Fairness-Aware,1.0,72.03±1.28,12.3,0.0527±0.0082,0.0359±0.0068,1.424±0.398
